"title","audience_score","type","genre","runtime","year","mpaa_rating","imdb_num_votes","critics_score","critics_rating","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","audience_rating","director","actor1","actor2","actor3","actor4","actor5","rt_url","imdb_url","imdb_id"
"We Jam Econo: The Story of the Minutemen",95,"Documentary","Other",91,2005,"Unrated",571,89,"Fresh","no","no","no","no","no","Upright","Tim Irwin","Minutemen","D. Boon","George Hurley","Gregg Ginn","Ian MacKaye","http://www.rottentomatoes.com/m/we_jam_econo/","http://www.imdb.com/title/tt0446071/","446071"
"Zoolander",81,"Feature Film","Comedy",89,2001,"PG-13",156563,64,"Fresh","no","no","no","no","no","Upright","Ben Stiller","Ben Stiller","Owen Wilson","Will Ferrell","Christine Taylor","Jerry Stiller","http://www.rottentomatoes.com/m/zoolander/","http://www.imdb.com/title/tt0196229/","196229"
"Citizen X",87,"TV Movie","Drama",105,1995,"R",9601,86,"Fresh","no","no","no","no","no","Upright","Chris Gerolmo","John Wood","Radu Amzuliscu","Andras Balint","Laszlo Varadi Balogh","Zsolt Biro","http://www.rottentomatoes.com/m/citizen_x/","http://www.imdb.com/title/tt0112681/","112681"
"Rubber",46,"Feature Film","Drama",82,2010,"R",20679,68,"Fresh","no","no","no","no","no","Spilled","Quentin Dupieux","Stephen Spinella","Roxane Mesquida","Jack Plotnick","Wings Hauser","Pedro Winter","http://www.rottentomatoes.com/m/rubber/","http://www.imdb.com/title/tt1612774/","1612774"
"Shanghai Knights",54,"Feature Film","Action & Adventure",114,2003,"PG-13",66871,66,"Fresh","no","no","no","no","no","Spilled","David Dobkin","Fan Man-Fong","Jackie Chan","Owen Wilson","Fann Wong","Aidan Gillen","http://www.rottentomatoes.com/m/shanghai_knights/","http://www.imdb.com/title/tt0300471/","300471"
"Frantic",63,"Feature Film","Drama",120,1988,"R",33022,78,"Certified Fresh","no","no","no","no","yes","Upright","Roman Polanski","Harrison Ford II","Emmanuelle Seigner","Betty Buckley","John Mahoney","Jimmie Ray Weeks","http://www.rottentomatoes.com/m/1007832-frantic/","http://www.imdb.com/title/tt0095174/","95174"
"Entrapment",51,"Feature Film","Drama",113,1999,"PG-13",75388,38,"Rotten","no","no","no","no","no","Spilled","Jon Amiel","Catherine Zeta-Jones","Ving Rhames","Will Patton","Maury Chaykin","Kevin McNally","http://www.rottentomatoes.com/m/entrapment/","http://www.imdb.com/title/tt0137494/","137494"
"Herbie Goes to Monte Carlo",57,"Feature Film","Action & Adventure",105,1977,"G",4156,67,"Fresh","no","no","no","no","no","Spilled","Vincent McEveety","Dean Jones","Don Knotts","Jacques Marin","Bernard Fox","Roy Kinnear","http://www.rottentomatoes.com/m/herbie_goes_to_monte_carlo/","http://www.imdb.com/title/tt0076137/","76137"
"Beethoven",35,"Feature Film","Other",87,1992,"PG",39270,31,"Rotten","no","no","no","no","no","Spilled","Brian Levant","Christopher Castle","Charles Grodin","Bonnie Hunt","Dean Jones","Nicholle Tom","http://www.rottentomatoes.com/m/1038726-beethoven/","http://www.imdb.com/title/tt0103786/","103786"
"Adam Resurrected",45,"Feature Film","Drama",106,2008,"R",2829,34,"Rotten","no","no","no","no","no","Spilled","Paul Schrader","Jeff Goldblum","Willem Dafoe","Derek Jacobi","Ayelet Zurer","Moritz Bleibtreu","http://www.rottentomatoes.com/m/adam_resurrected/","http://www.imdb.com/title/tt0479341/","479341"
"Wanted: Dead or Alive",49,"Feature Film","Action & Adventure",106,1986,"R",2666,25,"Rotten","no","no","no","no","no","Spilled","Gary A. Sherman","Gene L. Simmons","Rutger Hauer","Robert Guillaume","Gene Simmons","Mel Harris","http://www.rottentomatoes.com/m/wanted_dead_or_alive_1987/","http://www.imdb.com/title/tt0094293/","94293"
"Another Stakeout",28,"Feature Film","Action & Adventure",108,1993,"PG-13",9685,14,"Rotten","no","no","yes","no","no","Spilled","John Badham","Richard Dreyfuss","Emilio Estevez","Rosie O'Donnell","Dennis Farina","Marcia Strassman","http://www.rottentomatoes.com/m/another_stakeout/","http://www.imdb.com/title/tt0106292/","106292"
"Ken Park",55,"Feature Film","Drama",96,2002,"Unrated",21825,43,"Rotten","no","no","no","no","no","Spilled","Larry Clark","Adam Chubbuck","James Ransome","James Ransone","Tiffany Limos","Stephen Jasso","http://www.rottentomatoes.com/m/1173608-ken_park/","http://www.imdb.com/title/tt0209077/","209077"
"Leonard Part 6",22,"Feature Film","Mystery & Suspense",85,1987,"PG",6433,9,"Rotten","no","no","no","no","no","Spilled","Paul Weiland","Gloria Foster","Tom Courtenay","Joe Don Baker","Moses Gunn","Pat Colbert","http://www.rottentomatoes.com/m/leonard-part-6/","http://www.imdb.com/title/tt0093405/","93405"
"Driving Lessons",71,"Feature Film","Drama",98,2006,"PG-13",8905,48,"Rotten","no","no","no","no","no","Upright","Jeremy Brock","Laura Linney","Julie Walters","Rupert Grint","Rose Keegan","Rupert Holliday Evans","http://www.rottentomatoes.com/m/1167633-driving_lessons/","http://www.imdb.com/title/tt0446687/","446687"
"Election",79,"Feature Film","Comedy",103,1999,"R",65262,92,"Certified Fresh","no","no","no","yes","no","Upright","Alexander Payne","Matthew Broderick","Reese Witherspoon","Chris Klein","Jessica Campbell","Colleen Camp","http://www.rottentomatoes.com/m/election/","http://www.imdb.com/title/tt0126886/","126886"
"Shall We Dance",57,"Feature Film","Drama",106,2004,"PG-13",30582,46,"Rotten","no","no","no","yes","no","Spilled","Peter Chelsom","Richard Gere","Jennifer Lopez","Susan Sarandon","Stanley Tucci","Bobby Cannavale","http://www.rottentomatoes.com/m/shall_we_dance/","http://www.imdb.com/title/tt0358135/","358135"
"Octopussy",48,"Feature Film","Drama",131,1983,"PG",61233,42,"Rotten","no","no","no","no","no","Spilled","John Glen","Roger Moore","Louis Jourdan","Maud Adams","Kristina Wayborn","Kabir Bedi","http://www.rottentomatoes.com/m/octopussy/","http://www.imdb.com/title/tt0086034/","86034"
"Shark Attack",21,"TV Movie","Action & Adventure",95,1999,"R",2161,0,"Rotten","no","no","no","no","no","Spilled","Bob Misiorowski","Casper Van Dien","Ernie Hudson","Jenny McShane","Bentley Mitchum","Jennifer McShane","http://www.rottentomatoes.com/m/1090185-shark_attack/","http://www.imdb.com/title/tt0161970/","161970"
"Ted",74,"Feature Film","Comedy",106,2012,"R",367135,68,"Fresh","no","no","no","no","no","Upright","Seth MacFarlane","Mila Kunis","Mark Wahlberg","Giovanni Ribisi","Joel McHale","Patrick Warburton","http://www.rottentomatoes.com/m/ted_2012/","http://www.imdb.com/title/tt1637725/","1637725"
"The Guru",40,"Feature Film","Comedy",94,2002,"R",12824,57,"Rotten","no","no","no","no","no","Spilled","Daisy von Scherler Mayer","Jimi Mistry","Heather Graham","Marisa Tomei","Michael McKean","Dash Mihok","http://www.rottentomatoes.com/m/1119875-guru/","http://www.imdb.com/title/tt0280720/","280720"
"Marwencol",88,"Documentary","Other",83,2010,"Unrated",2135,98,"Certified Fresh","no","no","no","no","no","Upright","Jeff Malmberg","Mark Hogancamp",NA,NA,NA,NA,"http://www.rottentomatoes.com/m/marwencol/","http://www.imdb.com/title/tt1391092/","1391092"
"Iron Will",65,"Feature Film","Drama",108,1994,"PG",5159,62,"Fresh","no","no","yes","no","no","Upright","Charles Haid","Mackenzie Astin","Kevin Spacey","David Ogden Stiers","August Schellenberg","George Gerdes","http://www.rottentomatoes.com/m/iron_will/","http://www.imdb.com/title/tt0110157/","110157"
"Loaded Weapon 1",50,"Feature Film","Comedy",84,1993,"PG-13",33920,13,"Rotten","no","no","no","no","no","Spilled","Gene Quintano","Emilio Estevez","Samuel L. Jackson","Jon Lovitz","Tim Curry","Kathy Ireland","http://www.rottentomatoes.com/m/national_lampoons_loaded_weapon_1/","http://www.imdb.com/title/tt0107659/","107659"
"New Year's Eve",46,"Feature Film","Comedy",113,2011,"PG-13",54703,7,"Rotten","no","no","no","yes","no","Spilled","Garry Marshall","Sienna Miller","Halle Berry","Jessica Biel","Jon Bon Jovi","Abigail Breslin","http://www.rottentomatoes.com/m/new_years_eve_2011/","http://www.imdb.com/title/tt1598822/","1598822"
"Tracker",50,"Feature Film","Drama",102,2010,"R",2468,85,"Fresh","no","no","no","no","no","Spilled","Ian Sharp","Ray Winstone","Temuera Morrison","Andy Anderson",NA,NA,"http://www.rottentomatoes.com/m/tracker/","http://www.imdb.com/title/tt1414378/","1414378"
"Drowning by Numbers",91,"Feature Film","Drama",118,1988,"R",5251,91,"Fresh","no","no","no","no","no","Upright","Peter Greenaway","Bernard Hill","Joan Plowright","Juliet Stevenson","Joely Richardson","Jason Edwards","http://www.rottentomatoes.com/m/drowning-by-numbers/","http://www.imdb.com/title/tt0092929/","92929"
"Margaret",48,"Feature Film","Drama",150,2011,"R",10146,75,"Certified Fresh","no","no","no","no","no","Spilled","Kenneth Lonergan","Alison Janney","Anna Paquin","Matt Damon","Mark Ruffalo","Matthew Broderick","http://www.rottentomatoes.com/m/margaret_2010/","http://www.imdb.com/title/tt0466893/","466893"
"The Eagle Has Landed",68,"Feature Film","Action & Adventure",135,1976,"PG",12032,83,"Fresh","no","no","yes","no","no","Upright","John Sturges","Michael Caine","Donald Sutherland","Robert Duvall","Jenny Agutter","Larry Hagman","http://www.rottentomatoes.com/m/1006392-eagle_has_landed/","http://www.imdb.com/title/tt0074452/","74452"
"I Still Know What You Did Last Summer",29,"Feature Film","Horror",100,1998,"R",48150,7,"Rotten","no","no","no","no","no","Spilled","Danny Cannon","Jennifer Love Hewitt","Brandy Norwood","Freddie Prinze Jr.","Mekhi Phifer","Muse Watson","http://www.rottentomatoes.com/m/i_still_know_what_you_did_last_summer/","http://www.imdb.com/title/tt0130018/","130018"
"Wag the Dog",77,"Feature Film","Comedy",97,1997,"R",61708,85,"Certified Fresh","no","no","yes","no","yes","Upright","Barry Levinson","Dustin Hoffman","Anne Heche","Denis Leary","Woody Harrelson","Willie Nelson","http://www.rottentomatoes.com/m/wag_the_dog/","http://www.imdb.com/title/tt0120885/","120885"
"The Man in the Iron Mask",56,"Feature Film","Drama",132,1998,"PG-13",103220,33,"Rotten","no","no","yes","no","no","Spilled","Randall Wallace","Leonardo DiCaprio","Jeremy Irons","John Malkovich","Gerard Depardieu","Gabriel Byrne","http://www.rottentomatoes.com/m/1082400-man_in_the_iron_mask/","http://www.imdb.com/title/tt0120744/","120744"
"Phantasm IV: Oblivion",43,"Feature Film","Horror",90,1998,"R",3826,25,"Rotten","no","no","no","no","no","Spilled","Don Coscarelli","Reggie Bannister","Bill Thornbury","Angus Scrimm","Heidi Marnhout","Chloe Kay","http://www.rottentomatoes.com/m/phantasm_iv_oblivion/","http://www.imdb.com/title/tt0138703/","138703"
"Tea with Mussolini",77,"Feature Film","Drama",117,1999,"PG",8428,65,"Fresh","no","no","no","yes","no","Upright","Franco Zeffirelli","Charles D. Lucas","Cher","Judi Dench","Joan Plowright","Maggie Smith","http://www.rottentomatoes.com/m/tea_with_mussolini/","http://www.imdb.com/title/tt0120857/","120857"
"The Heartbreak Kid",71,"Feature Film","Drama",106,1972,"PG",2165,90,"Fresh","no","no","no","no","no","Upright","Elaine May","Charles Grodin","Jeannie Berlin","Cybill Shepherd","Eddie Albert","Audra Lindley","http://www.rottentomatoes.com/m/heartbreak_kid/","http://www.imdb.com/title/tt0068687/","68687"
"Dr. Dolittle 2",26,"Feature Film","Comedy",87,2001,"PG",29447,42,"Rotten","no","no","no","no","no","Spilled","Steve Carr","Eddie Murphy","Kristen Wilson","Raven","Kyla Pratt","Kevin Pollak","http://www.rottentomatoes.com/m/dr_dolittle_2/","http://www.imdb.com/title/tt0240462/","240462"
"Prospero's Books",85,"Feature Film","Drama",124,1991,"R",4672,67,"Fresh","no","no","no","no","no","Upright","Peter Greenaway","John Gielgud","Michael Clark","Michel Blanc","Erland Josephson","Isabelle Pasco","http://www.rottentomatoes.com/m/prosperos_books/","http://www.imdb.com/title/tt0102722/","102722"
"Someone to Watch Over Me",43,"Feature Film","Drama",106,1987,"R",6264,76,"Fresh","no","no","no","no","no","Spilled","Ridley Scott","Tom Berenger","Mimi Rogers","Lorraine Bracco","Jerry Orbach","John Rubinstein","http://www.rottentomatoes.com/m/someone_to_watch_over_me/","http://www.imdb.com/title/tt0094008/","94008"
"Yanks",62,"Feature Film","Drama",138,1979,"R",2273,71,"Fresh","no","no","no","no","yes","Upright","John Schlesinger","William Devane","Vanessa Redgrave","Richard Gere","Lisa Eichhorn","Chick Vennera","http://www.rottentomatoes.com/m/yanks/","http://www.imdb.com/title/tt0080157/","80157"
"Jonas Brothers: The 3D Concert Experience",76,"Documentary","Other",76,2009,"G",17020,25,"Rotten","no","no","no","no","no","Upright","Bruce Hendricks","Jonas Brothers","John Lloyd Taylor","John Cahill Lawless","Ryan Matthew Liestman","Gregory Robert Garbowsky","http://www.rottentomatoes.com/m/jonas_brothers_3d/","http://www.imdb.com/title/tt1229827/","1229827"
"I Could Never Be Your Woman",44,"Feature Film","Comedy",97,2007,"PG-13",12971,64,"Fresh","no","no","no","no","no","Spilled","Amy Heckerling","Michelle Pfeiffer","Paul Rudd","Stacey Dash","Sarah Alexander","Jon Lovitz","http://www.rottentomatoes.com/m/i_could_never_be_your_woman/","http://www.imdb.com/title/tt0466839/","466839"
"My Blueberry Nights",61,"Feature Film","Drama",95,2007,"PG-13",39211,47,"Rotten","no","no","no","yes","no","Upright","Kar Wai Wong","Norah Jones","Natalie Portman","Jude Law","David Strathairn","Rachel Weisz","http://www.rottentomatoes.com/m/my_blueberry_nights/","http://www.imdb.com/title/tt0765120/","765120"
"The Frighteners",71,"Feature Film","Horror",110,1996,"R",61597,64,"Fresh","no","no","no","no","yes","Upright","Peter Jackson","Michael J. Fox","Trini Alvarado","Peter Dobson","John Astin","Jeffrey Combs","http://www.rottentomatoes.com/m/the_frighteners/","http://www.imdb.com/title/tt0116365/","116365"
"Changeling",82,"Feature Film","Mystery & Suspense",141,2008,"R",175040,63,"Fresh","no","no","no","no","yes","Upright","Clint Eastwood","Angelina Jolie","John Malkovich","Jeffrey Donovan","Michael Kelly","Colm Feore","http://www.rottentomatoes.com/m/1191742_changeling/","http://www.imdb.com/title/tt0824747/","824747"
"Over Her Dead Body",42,"Feature Film","Other",95,2008,"PG-13",19454,15,"Rotten","no","no","no","no","no","Spilled","Jeff Lowell","Eva Longoria","Paul Rudd","Lake Bell","Jason Biggs","Lindsay Sloane","http://www.rottentomatoes.com/m/1190660-over_my_dead_body/","http://www.imdb.com/title/tt0785007/","785007"
"Sleepless in Seattle",75,"Feature Film","Drama",105,1993,"PG",104568,72,"Fresh","no","no","yes","no","no","Upright","Nora Ephron","Tom Hanks","Meg Ryan","Bill Pullman","Ross Malinger","Rob Reiner","http://www.rottentomatoes.com/m/sleepless_in_seattle/","http://www.imdb.com/title/tt0108160/","108160"
"Natural Born Killers",81,"Feature Film","Drama",118,1994,"R",146306,47,"Rotten","no","no","no","no","yes","Upright","Oliver Stone","Woody Harrelson","Juliette Lewis","Robert Downey Jr.","Tommy Lee Jones","Tom Sizemore","http://www.rottentomatoes.com/m/natural_born_killers/","http://www.imdb.com/title/tt0110632/","110632"
"The Big Chill",78,"Feature Film","Drama",105,1983,"R",22455,68,"Fresh","yes","no","yes","no","no","Upright","Lawrence Kasdan","Tom Berenger","Glenn Close","Jeff Goldblum","William Hurt","Mary Kay Place","http://www.rottentomatoes.com/m/big_chill/","http://www.imdb.com/title/tt0085244/","85244"
"Jaws",90,"Feature Film","Drama",124,1975,"PG",318180,98,"Certified Fresh","yes","no","yes","no","yes","Upright","Steven Spielberg","Roy Scheider","Robert Shaw","Richard Dreyfuss","Lorraine Gary","Murray Hamilton","http://www.rottentomatoes.com/m/jaws/","http://www.imdb.com/title/tt0073195/","73195"
"Wyatt Earp",62,"Feature Film","Other",191,1994,"PG-13",29315,42,"Rotten","no","no","yes","no","no","Upright","Lawrence Kasdan","Dennis Quaid","Gene Hackman","Michael Madsen","David Andrews","Linden Ashby","http://www.rottentomatoes.com/m/1052698-wyatt_earp/","http://www.imdb.com/title/tt0111756/","111756"
"Clean, Shaven",83,"Feature Film","Drama",79,1993,"Unrated",3453,90,"Fresh","no","no","no","no","no","Upright","Lodge H. Kerrigan","Peter Greene","Robert Albert","Megan Owen","Molly Castelloe","Jennifer Macdonald","http://www.rottentomatoes.com/m/clean_shaven/","http://www.imdb.com/title/tt0106579/","106579"
"Rush Hour 3",63,"Feature Film","Action & Adventure",91,2007,"PG-13",99832,18,"Rotten","no","no","no","no","no","Upright","Brett Ratner","Vinnie Jones","Jackie Chan","Chris Tucker","Max von Sydow","Henry O","http://www.rottentomatoes.com/m/rush_hour_3/","http://www.imdb.com/title/tt0293564/","293564"
"Stone Cold",64,"Feature Film","Drama",92,1991,"R",4157,29,"Rotten","no","no","no","no","no","Upright","Craig R. Baxley","Brian Bosworth","Lance Henriksen","William Forsythe","Arabella Holzbog","Sam McMurray","http://www.rottentomatoes.com/m/1034751-stone_cold/","http://www.imdb.com/title/tt0102984/","102984"
"Slaughter High",36,"Feature Film","Horror",90,1986,"R",2966,0,"Rotten","no","no","no","no","no","Spilled","Peter Litten","Simon Scuddamore","Caroline Munro","Carmine Iannoccone","Donna Yaeger","Gary Martin","http://www.rottentomatoes.com/m/slaughter_high/","http://www.imdb.com/title/tt0091969/","91969"
"The Hangover Part III",45,"Feature Film","Comedy",100,2013,"R",156370,19,"Rotten","no","no","no","no","no","Spilled","Todd Phillips","Bradley Cooper","Ed Helms","Zach Galifianakis","Ken Jeong","Heather Graham","http://www.rottentomatoes.com/m/the_hangover_part_iii/","http://www.imdb.com/title/tt1951261/","1951261"
"I Spy",56,"Feature Film","Drama",97,2002,"R",37386,57,"Rotten","no","no","no","no","no","Spilled","Steven Shainberg","Elias Koteas","Laure Marsac","Jay Leggett","Philip Baker Hall","William H. Macy","http://www.rottentomatoes.com/m/hit_me/","http://www.imdb.com/title/tt0297181/","297181"
"E.T. the Extra-Terrestrial",71,"Feature Film","Other",115,1982,"PG",234485,98,"Certified Fresh","yes","no","no","no","yes","Upright","Steven Spielberg","Henry Thomas","Dee Wallace Stone","Peter Coyote","Robert MacNaughton","Drew Barrymore","http://www.rottentomatoes.com/m/et_the_extraterrestrial/","http://www.imdb.com/title/tt0083866/","83866"
"The Ides of March",73,"Feature Film","Mystery & Suspense",101,2011,"R",167088,85,"Certified Fresh","no","no","yes","no","no","Upright","George Clooney","Ryan Gosling","George Clooney","Philip Seymour Hoffman","Paul Giamatti","Evan Rachel Wood","http://www.rottentomatoes.com/m/the_ides_of_march/","http://www.imdb.com/title/tt1124035/","1124035"
"Cradle 2 the Grave",53,"Feature Film","Drama",101,2003,"R",30502,26,"Rotten","no","no","no","no","no","Spilled","Andrzej Bartkowiak","Jet Li","DMX","Kelly Hu","Tom Arnold","Mark Dacascos","http://www.rottentomatoes.com/m/cradle_2_the_grave/","http://www.imdb.com/title/tt0306685/","306685"
"Jump In!",61,"TV Movie","Other",85,2007,"G",3834,50,"Rotten","no","no","no","no","no","Upright","Paul Hoen","Corbin Bleu","Keke Palmer","David Reivers","Shanica Knowles","Laivan Greene","http://www.rottentomatoes.com/m/jump_in/","http://www.imdb.com/title/tt0805559/","805559"
"Surrogates",38,"Feature Film","Action & Adventure",89,2009,"PG-13",137245,39,"Rotten","no","no","no","no","no","Spilled","Jonathan Mostow","Bruce Willis","Radha Mitchell","Rosamund Pike","Boris Kodjoe","James Ginty","http://www.rottentomatoes.com/m/10009598-surrogates/","http://www.imdb.com/title/tt0986263/","986263"
"The Princess Diaries 2: Royal Engagement",60,"Feature Film","Comedy",113,2004,"G",39273,25,"Rotten","no","no","no","yes","no","Upright","Garry Marshall","Anne Hathaway","Julie Andrews","Hector Elizondo","John Rhys-Davies","Heather Matarazzo","http://www.rottentomatoes.com/m/princess_diaries_2_royal_engagement/","http://www.imdb.com/title/tt0368933/","368933"
"Miracle Mile",73,"Feature Film","Drama",87,1988,"R",4971,86,"Fresh","no","no","no","no","no","Upright","Steve DeJarnatt","Anthony Edwards","Mare Winningham","John Agar","Lou Hancock","Mykelti Williamson","http://www.rottentomatoes.com/m/miracle_mile/","http://www.imdb.com/title/tt0097889/","97889"
"Jersey Girl",48,"Feature Film","Comedy",102,2004,"PG-13",48335,41,"Rotten","no","no","no","no","no","Spilled","Kevin Smith","Ben Affleck","Liv Tyler","Raquel Castro","George Carlin","Jennifer Lopez","http://www.rottentomatoes.com/m/jersey_girl/","http://www.imdb.com/title/tt0300051/","300051"
"The Replacements",66,"Feature Film","Drama",118,2000,"PG-13",41849,40,"Rotten","no","no","yes","no","no","Upright","Howard Deutch","Keanu Reeves","Gene Hackman","Brooke Langton","Orlando Jones","Jon Favreau","http://www.rottentomatoes.com/m/replacements/","http://www.imdb.com/title/tt0191397/","191397"
"Somewhere",47,"Feature Film","Drama",97,2010,"R",31174,72,"Certified Fresh","no","no","no","no","no","Spilled","Sofia Coppola","Stephen Dorff","Elle Fanning","Chris Pontius","Lala Sloatman","Benicio Del Toro","http://www.rottentomatoes.com/m/somewhere_2010/","http://www.imdb.com/title/tt1421051/","1421051"
"Eating Out",60,"Feature Film","Other",90,2004,"Unrated",4259,16,"Rotten","no","no","no","no","no","Upright","Q. Allan Brocka","Scott Lunsford","Jim Verraros","Emily Stiles","Ryan Carnes","Rebekah Kochan","http://www.rottentomatoes.com/m/eating_out/","http://www.imdb.com/title/tt0372884/","372884"
"Jimmy Neutron: Boy Genius",51,"Feature Film","Other",82,2001,"G",20166,75,"Certified Fresh","no","no","no","no","no","Spilled","John Davis","Mark De Carlo","Megan Cavanagh","Debi Derryberry","Jeff Garcia","Bob Goen","http://www.rottentomatoes.com/m/jimmy_neutron_boy_genius/","http://www.imdb.com/title/tt0268397/","268397"
"Evil Toons",26,"Feature Film","Horror",90,1992,"R",1372,29,"Rotten","no","no","no","no","no","Spilled","Fred Olen Ray","Suzanne Ager","Monique Gabrielle","Madison","Dick Miller","Stacey Nix","http://www.rottentomatoes.com/m/evil_toons/","http://www.imdb.com/title/tt0099524/","99524"
"Kazaam",19,"Feature Film","Other",93,1996,"PG",18500,6,"Rotten","no","no","no","no","no","Spilled","Paul Michael Glaser","Jo Anne Hart","Francis Capra","Ally Walker","Marshall Manesh (II)","James Acheson","http://www.rottentomatoes.com/m/kazaam/","http://www.imdb.com/title/tt0116756/","116756"
"Bean",53,"Feature Film","Comedy",89,1997,"PG-13",64236,42,"Rotten","no","no","no","no","no","Spilled","Mel Smith","Rowan Atkinson","Peter MacNicol","Pamela Reed","Harris Yulin","Burt Reynolds","http://www.rottentomatoes.com/m/bean/","http://www.imdb.com/title/tt0118689/","118689"
"Salvador",86,"Feature Film","Mystery & Suspense",122,1986,"R",13366,92,"Fresh","no","no","no","no","yes","Upright","Oliver Stone","James Woods","Jim Belushi","Michael Murphy","John Savage","Elpidia Carrillo","http://www.rottentomatoes.com/m/salvador/","http://www.imdb.com/title/tt0091886/","91886"
"Not Without My Daughter",71,"Feature Film","Drama",116,1991,"PG-13",8328,47,"Rotten","no","no","no","yes","no","Upright","Brian Gilbert","Sally Field","Alfred Molina","Sheila Rosenthal","Roshan Seth","Sarah Badel","http://www.rottentomatoes.com/m/not_without_my_daughter/","http://www.imdb.com/title/tt0102555/","102555"
"Slap Her, She's French!",38,"Feature Film","Other",92,2002,"PG-13",4476,38,"Rotten","no","no","no","no","no","Spilled","Melanie Mayron","Piper Perabo","Jane McGregor","Trent Ford","Michael McKean","Julie White","http://www.rottentomatoes.com/m/she_gets_what_she_wants/","http://www.imdb.com/title/tt0187512/","187512"
"Night Watch",62,"Feature Film","Drama",99,1973,"PG",486,33,"Rotten","no","no","no","yes","no",NA,"Brian G. Hutton","Elizabeth Taylor","Laurence Harvey","Billie Whitelaw","Robert Lang","Tony Britton","http://www.rottentomatoes.com/m/night_watch/","http://www.imdb.com/title/tt0070444/","70444"
"As You Like It",50,"Feature Film","Drama",127,2006,"PG",2164,36,"Rotten","no","no","no","no","no","Spilled","Kenneth Branagh","Bryce Dallas Howard","Kevin Kline","Romola Garai","Adrian Lester","Janet McTeer","http://www.rottentomatoes.com/m/1183512-as_you_like_it/","http://www.imdb.com/title/tt0450972/","450972"
"Eastern Promises",83,"Feature Film","Mystery & Suspense",100,2007,"R",168855,89,"Certified Fresh","no","no","no","no","no","Upright","David Cronenberg","Viggo Mortensen","Naomi Watts","Vincent Cassel","Armin Mueller-Stahl","Sinead Cusack","http://www.rottentomatoes.com/m/eastern_promises/","http://www.imdb.com/title/tt0765443/","765443"
"The Asphyx",48,"Feature Film","Horror",99,1973,"PG",1279,67,"Fresh","no","no","no","no","no","Spilled","Peter Newbrook","Robert Stephens","Robert Powell","Jane Lapotaire","Alex Scott","Ralph Arliss","http://www.rottentomatoes.com/m/asphyx/","http://www.imdb.com/title/tt0069738/","69738"
"The Reunion",32,"Feature Film","Drama",NA,2011,"PG-13",2634,8,"Rotten","no","no","no","no","no","Spilled","Michael Pavone","John Cena","Ethan Embry","Michael Rispoli","Robert Boyd Holbrook","Amy Smart","http://www.rottentomatoes.com/m/blood_brothers_2011/","http://www.imdb.com/title/tt1792543/","1792543"
"Showgirls",36,"Feature Film","Drama",128,1995,"NC-17",43887,17,"Rotten","no","no","no","no","no","Spilled","Paul Verhoeven","Kyle MacLachlan","Elizabeth Berkley","Gina Gershon","Glenn Plummer","Robert Davi","http://www.rottentomatoes.com/m/showgirls/","http://www.imdb.com/title/tt0114436/","114436"
"How She Move",50,"Feature Film","Drama",94,2007,"PG-13",4495,65,"Fresh","no","no","no","no","no","Spilled","Ian Iqbal Rashid","Rutina Wesley","Tracey 'Tre' Armstrong","Dwain Murphy","Brennan Gademans","Shawn Desman","http://www.rottentomatoes.com/m/how_she_move/","http://www.imdb.com/title/tt0770810/","770810"
"The Fabulous Baker Boys",69,"Feature Film","Drama",114,1989,"R",15621,96,"Fresh","no","no","yes","no","no","Upright","Steve Kloves","Elie Raab","Jeff Bridges","Michelle Pfeiffer","Beau Bridges","Ellie Raab","http://www.rottentomatoes.com/m/fabulous_baker_boys/","http://www.imdb.com/title/tt0097322/","97322"
"Wedding Crashers",70,"Feature Film","Comedy",119,2005,"R",238972,75,"Certified Fresh","no","no","no","no","no","Upright","David Dobkin","Owen Wilson","Vince Vaughn","Rachel McAdams","Christopher Walken","Isla Fisher","http://www.rottentomatoes.com/m/wedding_crashers/","http://www.imdb.com/title/tt0396269/","396269"
"Footloose",61,"Feature Film","Drama",113,2011,"PG-13",30018,71,"Fresh","no","no","no","no","no","Upright","Craig Brewer","Julianne Hough","Kenny Wormald","Dennis Quaid","Andie MacDowell","Miles Teller","http://www.rottentomatoes.com/m/footloose-2010/","http://www.imdb.com/title/tt1068242/","1068242"
"The Slaughter Rule",44,"Feature Film","Drama",112,2002,"R",1874,73,"Fresh","no","no","no","no","no","Spilled","Alex Smith","Ryan Gosling","David Morse","Clea DuVall","Eddie Spears","Kelly Lynch","http://www.rottentomatoes.com/m/slaughter_rule/","http://www.imdb.com/title/tt0266971/","266971"
"The War Zone",82,"Feature Film","Drama",98,1999,"R",7248,84,"Fresh","no","no","no","no","no","Upright","Tim Roth","Ray Winstone","Tilda Swinton","Lara Belmont","Freddie Cunliffe","Kate Ashfield","http://www.rottentomatoes.com/m/1093506-war_zone/","http://www.imdb.com/title/tt0141974/","141974"
"Sound of Noise",77,"Feature Film","Action & Adventure",102,2010,"R",5447,86,"Fresh","no","no","no","no","no","Upright","Johannes Stjarne Nilsson","Bengt Nilsson","Sanna Persson","Sanna Persson Halapi","Magnus Borjeson","Fredrik Myhr","http://www.rottentomatoes.com/m/sound_of_noise/","http://www.imdb.com/title/tt1278449/","1278449"
